epoch student_adv student_nat score
0 0.0114 0.0521 0.0318 
1 0.0403 0.0860 0.0631 
10 0.1121 0.2331 0.1726 
20 0.1521 0.3621 0.2571 
30 0.1870 0.4414 0.3142 
40 0.2034 0.4772 0.3403 
50 0.2059 0.5076 0.3568 
60 0.2295 0.5237 0.3766 
70 0.2278 0.5403 0.3841 
80 0.2376 0.5482 0.3929 
90 0.2371 0.5467 0.3919 
100 0.2594 0.5812 0.4203 
110 0.2920 0.6034 0.4477 
120 0.2960 0.6063 0.4511 
130 0.2991 0.6066 0.4528 
140 0.2993 0.6088 0.4541 
150 0.3000 0.6105 0.4553 
160 0.3017 0.6154 0.4586 
170 0.3027 0.6155 0.4591 
180 0.3049 0.6164 0.4607 
190 0.3054 0.6151 0.4602 
200 0.3054 0.6169 0.4612 
210 0.3078 0.6152 0.4615 
216 0.3094 0.6160 0.4627 
217 0.3084 0.6193 0.4638 
218 0.3089 0.6211 0.4650 
219 0.3092 0.6229 0.4660 
220 0.3092 0.6249 0.4670 
221 0.3096 0.6272 0.4684 
222 0.3097 0.6293 0.4695 
223 0.3104 0.6304 0.4704 
224 0.3112 0.6313 0.4712 
225 0.3118 0.6313 0.4716 
226 0.3119 0.6329 0.4724 
227 0.3118 0.6345 0.4731 
228 0.3119 0.6349 0.4734 
229 0.3126 0.6348 0.4737 
230 0.3110 0.6349 0.4729 
231 0.3115 0.6357 0.4736 
232 0.3123 0.6366 0.4745 
233 0.3116 0.6367 0.4742 
234 0.3110 0.6364 0.4737 
235 0.3111 0.6367 0.4739 
236 0.3099 0.6381 0.4740 
237 0.3097 0.6390 0.4743 
238 0.3092 0.6389 0.4740 
239 0.3090 0.6394 0.4742 
240 0.3093 0.6390 0.4742 
241 0.3093 0.6394 0.4743 
242 0.3085 0.6396 0.4740 
243 0.3080 0.6396 0.4738 
244 0.3086 0.6390 0.4738 
245 0.3083 0.6390 0.4737 
246 0.3080 0.6393 0.4737 
247 0.3078 0.6396 0.4737 
248 0.3078 0.6399 0.4738 
249 0.3087 0.6403 0.4745 
250 0.3083 0.6412 0.4748 
251 0.3084 0.6408 0.4746 
252 0.3087 0.6411 0.4749 
253 0.3084 0.6410 0.4747 
254 0.3075 0.6412 0.4743 
255 0.3069 0.6414 0.4741 
256 0.3070 0.6416 0.4743 
257 0.3073 0.6407 0.4740 
258 0.3059 0.6406 0.4732 
259 0.3064 0.6403 0.4733 
260 0.3065 0.6398 0.4732 
261 0.3069 0.6400 0.4735 
262 0.3064 0.6403 0.4733 
263 0.3063 0.6409 0.4736 
264 0.3065 0.6406 0.4735 
265 0.3065 0.6408 0.4737 
266 0.3061 0.6403 0.4732 
267 0.3056 0.6405 0.4730 
268 0.3054 0.6397 0.4726 
269 0.3049 0.6399 0.4724 
270 0.3050 0.6399 0.4725 
271 0.3047 0.6398 0.4723 
272 0.3040 0.6399 0.4719 
273 0.3046 0.6397 0.4722 
274 0.3050 0.6399 0.4725 
275 0.3041 0.6396 0.4718 
276 0.3040 0.6399 0.4719 
277 0.3042 0.6397 0.4720 
278 0.3039 0.6391 0.4715 
279 0.3044 0.6389 0.4717 
280 0.3044 0.6384 0.4714 
281 0.3048 0.6386 0.4717 
282 0.3045 0.6383 0.4714 
283 0.3051 0.6388 0.4719 
284 0.3052 0.6387 0.4720 
285 0.3051 0.6386 0.4718 
286 0.3052 0.6389 0.4721 
287 0.3043 0.6385 0.4714 
288 0.3046 0.6388 0.4717 
289 0.3055 0.6390 0.4723 
290 0.3049 0.6388 0.4718 
291 0.3054 0.6387 0.4721 
292 0.3049 0.6389 0.4719 
293 0.3044 0.6389 0.4717 
294 0.3043 0.6390 0.4717 
295 0.3053 0.6390 0.4722 
296 0.3053 0.6391 0.4722 
297 0.3047 0.6390 0.4718 
298 0.3048 0.6390 0.4719 
299 0.3052 0.6392 0.4722 
300 0.3054 0.6391 0.4723 
