epoch student_adv student_nat score
0 0.2125 0.4180 0.3152 
1 0.2461 0.5402 0.3931 
10 0.3658 0.7771 0.5715 
20 0.4136 0.8206 0.6171 
30 0.4163 0.8331 0.6247 
40 0.4265 0.8439 0.6352 
50 0.4366 0.8453 0.6410 
60 0.4418 0.8538 0.6478 
70 0.4573 0.8467 0.6520 
80 0.4421 0.8476 0.6449 
90 0.4443 0.8600 0.6522 
100 0.4717 0.8614 0.6665 
110 0.5177 0.8729 0.6953 
120 0.5209 0.8713 0.6961 
130 0.5218 0.8717 0.6967 
140 0.5254 0.8713 0.6984 
150 0.5286 0.8734 0.7010 
160 0.5287 0.8723 0.7005 
170 0.5287 0.8704 0.6995 
180 0.5320 0.8706 0.7013 
190 0.5346 0.8707 0.7026 
200 0.5335 0.8703 0.7019 
210 0.5346 0.8712 0.7029 
216 0.5340 0.8717 0.7028 
217 0.5336 0.8720 0.7028 
218 0.5323 0.8728 0.7026 
219 0.5325 0.8732 0.7028 
220 0.5319 0.8736 0.7027 
221 0.5318 0.8734 0.7026 
222 0.5313 0.8743 0.7028 
223 0.5322 0.8748 0.7035 
224 0.5317 0.8755 0.7036 
225 0.5309 0.8749 0.7029 
226 0.5305 0.8754 0.7029 
227 0.5302 0.8757 0.7029 
228 0.5303 0.8759 0.7031 
229 0.5309 0.8760 0.7035 
230 0.5313 0.8760 0.7036 
231 0.5319 0.8762 0.7041 
232 0.5312 0.8757 0.7035 
233 0.5321 0.8755 0.7038 
234 0.5319 0.8755 0.7037 
235 0.5338 0.8755 0.7046 
236 0.5346 0.8752 0.7049 
237 0.5343 0.8750 0.7046 
238 0.5339 0.8753 0.7046 
239 0.5352 0.8755 0.7053 
240 0.5348 0.8752 0.7050 
241 0.5362 0.8746 0.7054 
242 0.5361 0.8740 0.7050 
243 0.5364 0.8740 0.7052 
244 0.5361 0.8747 0.7054 
245 0.5359 0.8749 0.7054 
246 0.5361 0.8747 0.7054 
247 0.5354 0.8746 0.7050 
248 0.5357 0.8751 0.7054 
249 0.5352 0.8754 0.7053 
250 0.5350 0.8753 0.7051 
251 0.5361 0.8754 0.7057 
252 0.5355 0.8751 0.7053 
253 0.5351 0.8749 0.7050 
254 0.5350 0.8746 0.7048 
255 0.5345 0.8748 0.7046 
256 0.5346 0.8747 0.7046 
257 0.5348 0.8744 0.7046 
258 0.5348 0.8739 0.7044 
259 0.5345 0.8734 0.7039 
260 0.5347 0.8739 0.7043 
261 0.5349 0.8744 0.7046 
262 0.5345 0.8738 0.7042 
263 0.5355 0.8738 0.7046 
264 0.5349 0.8738 0.7044 
265 0.5347 0.8736 0.7042 
266 0.5345 0.8731 0.7038 
267 0.5341 0.8733 0.7037 
268 0.5340 0.8732 0.7036 
269 0.5338 0.8738 0.7038 
270 0.5339 0.8738 0.7039 
271 0.5343 0.8742 0.7043 
272 0.5339 0.8737 0.7038 
273 0.5343 0.8734 0.7038 
274 0.5341 0.8736 0.7039 
275 0.5342 0.8733 0.7037 
276 0.5342 0.8734 0.7038 
277 0.5340 0.8733 0.7036 
278 0.5338 0.8732 0.7035 
279 0.5338 0.8736 0.7037 
280 0.5345 0.8737 0.7041 
281 0.5345 0.8737 0.7041 
282 0.5346 0.8737 0.7042 
283 0.5346 0.8737 0.7042 
284 0.5345 0.8737 0.7041 
285 0.5348 0.8737 0.7043 
286 0.5343 0.8737 0.7040 
287 0.5349 0.8739 0.7044 
288 0.5348 0.8739 0.7044 
289 0.5348 0.8738 0.7043 
290 0.5344 0.8738 0.7041 
291 0.5346 0.8737 0.7042 
292 0.5345 0.8739 0.7042 
293 0.5349 0.8736 0.7043 
294 0.5346 0.8736 0.7041 
295 0.5348 0.8737 0.7043 
296 0.5348 0.8737 0.7043 
297 0.5343 0.8737 0.7040 
298 0.5348 0.8737 0.7043 
299 0.5350 0.8736 0.7043 
300 0.5346 0.8738 0.7042 
